"number_of_rows","row","prop_cases_stephensi","message","likelihood","mu0","Q0","chi","bites_Bed","bites_Indoors","delayMos","data_model_difference_1","data_model_difference_2","data_model_difference_3","data_model_difference_4","data_model_difference_5","data_model_difference_6","data_model_difference_7","data_model_difference_8","data_model_difference_9","data_model_difference_10","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10"
200,39,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",89.6854288597864,0.165015987535781,0.345961877817405,0.513613286101621,0.512493197124595,0.51561598156669,10,-694.418911716288,-109.919515235365,-18.5879229444448,56.9609186406719,13423.4888724193,15616.1862675808,114.527847253026,14410.0772682032,15307.7305453843,18149.9776543024,0.001,0.001,0.001,15.2275893132477,6.93670982403415,3.67437592290765,7.0380995423228,2.80014381892227,3.38242222008831,4.01954126191231
200,40,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",96.1515723386706,0.114455804481468,0.221797286261339,0.256159915022494,0.725606324009692,0.181509812017782,10,-1170.86546314741,-111.385675301013,-18.8256569786981,487.191007459387,15852.3927753004,17186.1934614144,4775.3371660745,15414.5899023316,15965.1085723702,18773.608593989,0.1,0.1,0.1,15.19992,7,4,7.09996,3.25,3.75,4.25
200,41,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",96.6017523169646,0.0650796688894578,0.132914275404415,0.453067156858121,0.614947856490575,0.311530366217282,10,-2387.14745981645,-126.010651471107,-21.4808529196346,618.588949522047,14441.6497407604,14379.5905243951,35293.8460972026,27362.534259715,20933.1769505286,5374.99287157399,0.1,0.1,0.1,15.19992,7,4,3.5,3.69996,3.75,7.84996
200,42,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",96.0391072386982,0.101131648155913,0.193769202145981,0.533039043196329,0.733144630796516,0.777743728823361,10,-1371.84539847858,-111.269140703701,-18.799646219136,705.208019503843,17301.9499514188,18302.7350292286,7916.73179204194,16407.7252921191,16541.5612142135,19327.4842979116,0.1,0.1,0.1,15.19992,7,4,7.09996,3.25,3.75,4.25
200,43,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",89.7820627698756,0.175165601953437,0.18434177387564,0.211587085385562,0.723625510152486,0.820075949032736,10,-210.131217585434,-24.4306033999017,-3.81277384558527,63.7141013293417,1892.25422841861,6174.74047078943,8805.99348943359,11817.3300209724,3105.91187263155,1526.25562422279,0.0115307877433761,0.0350080678772419,0.0143492374158826,62.0302323605876,28.5542941887269,11.202348437053,17.8999673308039,10.4543876095844,14.4852823387099,15.0262797688874
200,44,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",90.7970956385332,0.193701512474237,0.179898866438307,0.149078725119333,0.403892815321189,0.220580768049911,10,-74.5160937207311,-17.2252628858659,-2.67025612068197,-76.3657213380557,560.394723257239,-3157.63007016243,-2735.21229829486,-2337.22541860388,-3039.50111903342,-6511.22584266013,0.0590831243773315,0.103728289217289,0.0674723355060371,83.6126355684344,39.364983994402,14.8248564583285,21.502505970685,14.1027467587636,14.5719927048848,18.6513323139043
200,45,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.1670241335543,0.160173951538631,0.183981747007114,0.802859221569661,0.876156503863779,0.475997343260229,10,-341.318415412513,-31.3388744800792,-4.92639995503804,-426.271721589097,-9045.68047511212,-10960.5737512675,-4078.92045820841,-20600.2455484352,-12706.6534648047,-20869.1597937687,0.100041351830463,0.100028910891699,0.100031258766341,47.5995458433965,21.3998639482104,7.59999103854856,10.699961169101,10.4499350277026,7.34997589902448,11.4499229674967
200,46,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.9260956869852,0.181569905292369,0.252181099983398,0.666809073669599,0.460713208123496,0.572761910463143,10,-265.747936177889,-41.983888872448,-6.67326102407997,-14.8038417328639,912.392613100608,4198.77530401037,10462.8291126261,13247.3444428464,11619.4558916564,3069.01509141137,0.1,0.1,0.1,33.19972,17.79988,7.59996,10.69992,6.84996,7.34996,11.44992
200,47,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.5457237234258,0.186374135585744,0.238691813473939,0.809124698172889,0.314221205142468,0.612029776702716,10,-202.376707786059,-34.6261340137292,-5.46417972603272,28.0798422762036,-30.7502031049589,-9371.4387809203,-12619.7557346564,-10515.1098195713,-11499.1750180751,-8626.5456673626,0.102578413287348,0.0994231176129869,0.10492056381883,43.9988531098547,17.7965885805947,7.60608782498451,10.7004539986706,6.85548680529567,7.35420153022203,7.85159462942313
200,48,1,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.7349168431136,0.148185845642257,0.321687026969856,0.391969611558936,0.729961009027313,0.282469135201028,10,-898.783000209935,-128.209157951844,-21.9849836437887,-1885.08067748203,-5158.63739220118,-88837.3456251623,-7219.28810442681,-56809.01450579,-124773.479815775,-39186.9138196304,0.001,0.001,0.001,12.0714062638469,6.9040548012836,7.97410634318396,26.0359162362927,1.08011125078982,1.85249781880215,3.28318073414638
